jumei in.h.adr 
sanoma oyj
pt hexindo 
carrefour sa
honda motor, 
engie sa
trina solar 
adobe syst. 
daqo new 
vodafone grp 
adf foods 
glaxosmithkline plc 
e-com.cn.dang.cl.a.sp.adr
cons�rcio alfa 
engie brasil 
taiwan semicon.manu.adr/5
adobe systems 
rio tinto 
pt bumi 
melco resorts 
agria corporation
0
trans-pacific aerospace 
aeolus pharmaceuticals
aegean airlines 
aes corporation 
aegean airlines 
aegis logistics 
aerius international
0
pt cardig 
mtu aero 
grupo aeroportuario
china aerospace 
centric holdings 
a-sonic aerospace 
aequus pharmaceuticals 
aeon metals 
aeon, ltd.
aeon delight, 
aeon mall, 
redbank energy
atos se
chubb limited
aminex plc
chubb limited
aes tiet? 
aes tiet? 
aes  
aeeris limited
api technologies
aeon thana 
aeonian investmentsltd.
aeon financial 
aegon n.v.
a2a spa
anadolu hayat 
aer lingus 
alpine electronics
allgeier se
aecon group 
aeffe s.p.a.
american environmental 
aeci ltd.
amer. express 
amer. express 
american express 
amer. express 
malvern international 
algae.tec limited
agnico eagle 
agnico eagle 
anterra energy
5139@bn.kl
aeon credit 
aegean marine 
aena  
ameren  
aegon n.v.
avenira limited
mtu aero 
b/e aerospace 
public joint 
aercap holdings 
aeffe s.p.a. 
0
allgeier se 
mtu aero 
spirit aerosystems 
aeon, ltd.
0
china aerospace 
aem holdings 
precision aerospace 
aegon n.v.
atos se
aegek  
antrim energy 
b/e aerospace 
anadolu efes 
aeffe s.p.a. 
sprue aegis 
0
aeon stores 
agnico eagle 
are-dba.to
aeris p.i.-aeris 
aerogrow international
aena  
aegerion pharmaceuticals
aena
aegon n.v. 
0
american capit.ltd 
artisan energy 
amer. el. 
flyht aerospace 
aedifica sa
aec securities 
mtu aero 
figeac aero 
aegon nv 
0
b/e aerospace
aminex plc
aegon nv 
intu-bta.st
aerojet rocketdyne 
0
0
excelsior gold 
atmos energy 
american electric 
mercer international 
0
aehr test 
mtu aero 
magellan aerospace 
aec.bo
allgeier se 
aim exploration 
aes tiete 
aersis private 
mtu aero 
prysmian s.p.a. 
aeorema communications 
aes tiete 
allgeier se 
aes tiet? 
aetna  
aena  
grupo aeroportuario 
amer. el. 
aemetis  
0
a0c.f
0
american capital 
anatolia energy 
aei corporation 
aedifica sa
american express 
grupo aeroportuario 
aedifica sa
grupo aerop.del 
american electric 
northstar aerospace
american capital, 
0
aerie pharmaceuticals
grupo aeroportu. 
0
0
aewin technologies, 
aegek 
magellan aerospace 
0
aegion  
toscana aeroporti 
mtu aero 
aerovironment
aevis victoria 
aecon grp
dp world, 
aelp3f.sa
aeffe s.p.a. 
aro liquidation
0
a-sonic aerospace 
applied energetics 
0
american express 
magellan aerospace 
aeffe s.p.a.
grupo aeroportuario 
lmi aerospace
grupo aeroportuario 
aes tiete 
aegean airlines 
aedes siiq 
china aerospace 
aegon n.v.
aesapar fundo 
grupo aerop.del 
agnico eagle 
ae.a
alliance resources 
aes tiet? 
aegean airlines 
aevis victoria 
austria email 
0
amer. el. 
spirit aero.hldgs 
aufeminin sa 
aevis victoria 
a2a s.p.a.
aeffe s.p.a.
dp world 
aeris resources 
aeonltd.
andes energia 
aedes siiq 
aetna  
0
0
awy.si
mercer intl 
0
aspen aerogels 
aes  
grupo aerop.del 
aegion  
chia tai 
aes tiete 
aegean airlines 
prysmian s.p.a. 
aee ahaus-ensch.ag
aes tiet? 
the aes 
pt cardig 
aegis logistics 
mtu aero 
aetna  
aeropostale  
0
taneja aerospace 
ameren corporation
ae multi 
aegon nv 
aeon metals 
prysmian s.p.a. 
aemulus holdings 
avenira limited
aeon motor, 
0
aegis logis
aetna  
prysmian s.p.a. 
anglo-eastern plantations 
aed.ax
grupo aeroportuario 
0
aes tiete 
aeris environmental 
trading industrial 
aeonltd.
aeqn.sg
spirit aerosystems 
aeon stores(hk)r.l.
magellan aerospace 
aer lingus 
0
allgeier se 
b/e aerospace 
mtu aero 
0
aena  
aes  
amer. express 
aerohive networks
aegon nv 
6599@bn.kl
aegean airlines 
prefeit sao 
aeon thana 
0
0
agnico eagle 
aegon
aspen aerogels 
aerojet rocketdyne 
aena
aes tiet? 
aspen aerogels 
aee ahaus-ensch.ag
a?ropostale
0
aega asa
agnico eagle 
aerospace industrial 
china aerospace 
prysmian s.p.a.
grupo aerom?xico 
aethlon medical
allete
0
gr.aero.d.cent.nort. b.
allgeier se
grupo aeroportuario 
0
mtu aero 
aec securities 
aegis logis*
gr.aero.d.cen.nor.b adr/8
futureland 
amer. el. 
aeroflot-russian airlines 
anglo-eastern plantations 
figeac aero 
novae aerospace
aec2.f
redbnk ene 
advanced explorations 
aecom
aecon group 
aegon n.v.
alopex gold 
aegon n.v.
excelsior gold 
amba enterprises 
aegon nv 
grupo aeroportuario 
cpi aerostructures 
0
aercap holdings 
amer. express 
american capit.ltd 
argo gold 
aena  
american express 
mtu aero 
aena
chubb ltd. 
aena  
intu-tr.st
aerojet rocketdyne 
aequus pharmaceuticals 
aes elpa 
aedifica 
aerovironment dl 
aegon n.v. 
ael.v
aegean marine 
aerie pharmaceuticals 
0181@bn.kl
aes tiet? 
aep inds 
aemetis
0
aec enterprises 
alchemia limited
grupo aerom?xico 
afren plc
iliad africa 
au min 
african potash 
barclays africa 
african potash 
africa-israel investments 
affluence 
asf group 
affinor growers 
pan african 
east africa 
cambria africa 
brasseries de 
arcelormittal south 
african petroleum 
afc ajax 
afc ajax 
african gold 
anthem united 
aftermaster
aftek limited
amtrust financial 
affiliated managers 
africa israel 
african rainbow 
afi development 
african metals 
african energy 
associated british 
assoc. br. 
afone 
african metals 
alphamin resources 
afluente gera?�o 
afluente transmiss�o 
aflac incorporated
amfi 
afi dev 
armstrong flooring 
arbonia ag
aff.mu
affymetrix 
afc building 
african consolidated
afc energy 
afa protective 
akka technologies
astoria financial 
affimed n.v. 
affin holdings 
affinor growers 
afi devl.gdr 
aftek limited
discovery africa 
aflac  
china water 
0
african energy 
coal of 
australian foundation 
china wat.aff.grp 
afluente pna
aff.f
africa energy
australian foundation 
stellar africagold 
coal of 
african metals 
healthways
5185@bn.kl
amer. eagle 
us ecology
af gruppen 
aflac  
african metals 
air france-klm 
cambria afri.plc 
affinor growers 
affymetrix 
3dr.l
african gold 
african gold 
wai capital 
aftek6.bo
the hanover 
afriag plc
amadeus fire 
affecto oyj
akka technologies 
westbay ventures 
a2j.sg
af17d.ba
africa hydrocarbons 
air france-klm 
africa energy 
affine r.e.
agfa-gevaert n.v.
0
afmas.is
af ab 
arbonia ag 
africa israel 
africa energy 
0
0
afarak group 
china water 
affinor growers 
african gold 
australian finance 
africa opportunity 
afc building 
aberdeen frontier 
west african 
afcon holdings 
afc ajax 
pan african 
associated british 
all for 
africa-israel investments 
afh financial 
a.f. enterprises 
aflac  
afkem ag
air france-klm 
afi development 
aflac  
china africa 
apio africa 
asia fiber 
0
aflu5f.sa
africa hydrocarbons 
african energy 
af gruppen 
asta funding 
aft pharmaceuticals 
coal of 
south african 
pan african 
china wat.aff.grp 
aira factoring 
africa oil 
afarak group 
aflt3f.sa
akka techs 
affinor growers 
africa opportunity 
ansar financial 
australian foundation 
align technology 
afi development 
affimed n.v.
afrique telecom
africa oil 
0
first cobalt 
0
nordic blue 
aftek ltd.
affinor growers
african metals 
alphaform ag
west african 
affiliated mgrs 
african petroleum 
africa energy 
african petroleum 
africa oil 
afc group 
0
coal of 
a.g. barr 
africa oil 
alternative fuels 
0
barclays africa 
hanover insur. 
aira factoring 
west african 
sable mining 
align technology
amtrust financial 
afarak group 
air france-klm 
us ecology 
afren plc
0
arcelormittal south 
air france-klm 
affimed n.v. 
air france-klm 
pme african 
afi development 
a.g. barr 
air france-klm 
africa oil 
arbonia ag
aegon n.v.
af.as
africa israel 
taraf gazetecilik 
coal of 
afc ajax 
associated british 
aft pharmaceuticals 
affimed n.v. 
0
aftek-be.ns
afc ajax 
assoc. br. 
align technology 
affymax  
amtrust financial 
alphamin resources 
fin.ouest africain
f.i.l.a. - 
amtrust financial 
amfin financial 
african bank 
aff.sg
afi development 
australian foundation 
associated british 
pme african 
asia fiber 
0
africa oil 
aflu3f.sa
0
assoc. br. 
syngenta ag
schmolz + 
stada arzneimittel 
solarworld aktiengesellschaft
pt summarecon 
swisscom ag
pimi agro 
implenia ag
inversiones aguas 
commerzbank ag
credit agricole 
china modern 
bb biotech 
basant agro 
audi ag
aries agro 
andritz ag
agent information 
aurubis ag
arian silver 
amer sports 
autogrill s.p.a.
agricultural land 
agf management 
apogee opportunities 
antioquia gold 
andes gold 
agrivest americas, 
agronomia s.p.a.
agromino a/s
thyssenkrupp ag
telekom austria 
teesta agro 
tecan group 
thai agro 
schweiter technologies 
suedzucker ag
strabag ag
stonegate agricom 
swiss prime 
stonegate agricom 
sunrise communications 
solar millenium 
singulus technologies 
pt sampoerna 
sartorius aktiengesellschaft
rational aktiengesellschaft
rib software 
rib software 
rheinmetall ag
raiffeisen bank 
psp swiss 
prima agro 
phoenix mecano 
palfinger ag
rei agro 
bumitama agri 
naisargik agritech 
ceconomy ag
morphosys ag
ag mortgage 
micronas semiconductor 
manz ag
lpkf laser 
lanxess aktiengesellschaft
chocoladefabriken lindt 
lifewatch ag
leg immobilien 
chocoladefabriken lindt 
highlight event 
eco business-immobilien 
ipsos sa
interroll holding 
infineon technologies 
ifb agro 
heidelbergcement ag
hay-un.to
hatsun agro 
agro capital 
proseed india 
gam holding 
grenke ag
general agriculture 
goldbach group 
carlo gavazzi 
golden agri-resources 
gam holding 
global agricultural 
ifa systems 
fraport ag
forbo holding 
evotec ag
evn ag
epigenomics ag
epigenomics ag
ems-chemie holding 
agricult.bnk of 
elringklinger ag
eco.vi
dr. agarwal's 
delignit ag
deutsche bk 
deutsche bk 
deutsche postbank 
deutsche b?rse 
deutsche bank 
datagroup se
commerzbank ag
cytn.sw
china bpic 
cr capital 
caisse regionale 
cr?dit agricole 
credit agricole 
conwert immobilien 
cr?dit agricole 
compugroup medical 
chaoda modern 
ishares global 
celesio ag
china agri-industries 
ceres global 
coca-cola hbc 
cr?dit agricole 
caisse regionale 
coxe global 
c-quadrat investment 
mvise ag
china agri-business 
bevo agro 
bastei l�bbe 
basilea pharmaceutica 
hugo boss 
brenntag ag
eyemaxx real 
bucher industries 
bayer aktiengesellschaft
barry callebaut 
bavaria industries 
hiddn solutions 
avw immobilien 
at & 
agro tech 
first energy 
aryzta ag
agrieuro 
australia new 
amraworld agrico 
also holding 
agrogeneration sa
agjunction 
doccheck ag
aixtron se
allergy therapeutics 
allergy therapeutics 
agt food 
argentex mining 
anglo asian 
ccp technologies 
agiv real 
allgemeine gold- 
ageas sa/nv
pt bank 
agro dutch 
ros agro 
agribank, fcb
agrana beteiligungs-aktiengesellschaft
anglo american 
anglo pacific 
atlas iron 
atlas iron 
assured guaranty 
applied graphene 
angel telecom 
agl energy 
agl energy 
alamos gold
0
agility health
canadian silver 
aga foodservice 
agfa-gevaert n.v.
apogee silver 
alligator energy 
agc networks 
amarillo gold 
atlantic gold 
agilent techs 
apollo global 
artec technologies 
mph health 
deutsche b?rse 
es! energie 
asian bamboo 
agtech holdings 
2g energy 
ros agro 
swiss life 
forbo holding 
fraport ag
tag immobilien 
deutsche b?rse 
pearl gold 
ktm ag
rosenbauer international 
datacolor ag
cham paper 
agrimin limited
credit agricole 
3414.two
nagarjuna agri 
deutsche lufthansa 
delticom ag
rashel agrotech 
ubs ag, 
schuler ag
aleia holding 
amer. science 
hwa ag 
schaffner holding 
dragerwerk ag 
dottikon es 
akash agencies 
alpiq holding 
pt astra 
solarworld aktiengesellschaft
agi infra 
indus holding 
aga-h.v
kreco realitaeten 
mobimo holding 
ennox group 
0
hci hammonia 
schindler holding 
cryptogen agro 
komax holding 
sartorius aktiengesellschaft
national steel 
agennix ag 
pt multi 
agfa-gevaert n.v.
bell agromachina 
rib software 
infineon technologies 
s&o agrar 
scout24 ag
tuin.l
0
petrotec ag
coltene holding 
aggreko plc 
ubs ag 
ratnamani agro 
henkel ag 
lotto24 ag
hwa ag
0
planar semiconductor 
raghuvansh agrofarms 
agilysys
ageas sa/nv
0
ivestos ag
alleghany corporation
franconofurt ag
bb biotech 
heidelbergcement ag
alpine select 
kuehne + 
stada arzneimittel 
ecotel communication 
dic asset 
psp swiss 
brenntag ag
leoni ag
deutsche telekom 
national steel 
agri-tech (india) 
salzgitter aktiengesellschaft
immofinanz ag
luzerner kantonalbank 
mic ag
astra agro 
cts eventim 
andrade gutierrez 
nemetschek se
shw ag
ifa systems 
newag 
ems-chemie holding 
albis leasing 
ktg energie 
comet holding 
aries agro 
kuoni reisen 
bene.vi
formycon ag
symrise ag
moneshi agro 
agri- tech 
albis leasing 
singulus technologies 
gesco ag
volkswagen aktiengesellschaft
0
0
inficon holding 
piccadily agro 
agl energy 
deutz aktiengesellschaft
deutsche bk 
united power 
sinovac biotech 
aptargroup
austral gold 
pt sinar 
eag-beteiligungs aktiengesellschaft
aquamondi ag
krones ag
novavisions ag
0
ros agro 
credit suisse 
sinovac biotech 
investunity ag
national steel 
bio-test ag
a.i.s. ag
bb biotech 
baumot group 
sbf ag
starrag group 
0
agt food 
elma electronic 
capital stage 
agrarius ag 
0
0
c-quadrat investment 
s�dzucker ag
grandma trading 
ubs group 
group business 
tlg immobilien 
semperit aktiengesellschaft 
schwabenverlag ag
0
ultrasonic ag
hypoport ag
0
calida holding 
0
agrarius ag 
0
going public 
angiogenex inc
rwe aktiengesellschaft
solarworld aktiengesellschaft
agfa-gevaert n.v.
0
sinovac biotech 
kontron ag
agennix ag 
polis immobilien 
rheinmetall ag
0
osram licht 
aguila american 
polytec holding 
0
indofood agri 
agritek hldgs 
0
rwe aktiengesellschaft
deutsche post 
apollo global 
green fire 
indobrit.bo
cash.life ag
asian bamboo 
sulzer ltd
ravindra trading 
pt fks 
chocoladefabriken lindt 
agco  
agrieuro 
dufry ag
symrise ag
origin agritech 
omv aktiengesellschaft
can-ameri agri 
s&t ag
nr agarwal 
deutsche beteiligungs 
origin agritech 
deutsche rohstoff 
0
are.mi
the swatch 
4sc ag
brasilagro - 
barry callebaut 
h&r gmbh 
federal agricultural 
mch group 
bb biotech 
ubs group 
bk rakya.ind.agroni.rp100
celesio ag
hpi ag
0
clariant ag
kencana agri 
raj agro 
deutsche konsum 
agrana beteiligungs-ag 
sfc energy 
r. stahl 
orior ag
4sc ag
agrana beteiligungs-aktiengesellschaft
rei agro 
0
lifespot capital 
0
0
snp schneider-neureither 
freenet ag
terra santa 
scout24 ag
agennix ag 
agrenco ltd
0
sanjivani agro 
gaia agro 
smt scharf 
dragerwerk ag 
gaia agro 
hwa ag
meyer burger 
msg life 
medical columbus 
australian agricult.
oswal agro 
leg immobilien 
roche holding 
santhera pharmaceuticals 
0
agrimarine holdings 
gxp german 
agarwal industrial 
cropenergies ag
0
basilea pharmaceutica 
grupo rotoplas, 
petro welt 
gaia agro 
china agri-industries 
grenke ag
a.i.s. ag
albis leasing 
0
china agrotech 
centrosolar group 
ringmetall ag
tallgrass energy 
?sterreichische post 
gbs software 
chaoda modern 
pixelpark ag
ashmore global 
agilent technologies
apple green 
caisse r?gionale 
emmi ag
deutsche beteiligungs 
partners group 
0
alliance resources 
seven principles 
novartis ag 
temenos group 
gruairport d21 
ate.at
ultrasonic ag
artnet ag
0
castle alternative 
oberbank ag
america greener 
rhi ag
celesio ag
wolford aktiengesellschaft
msg life 
tuij.l
ros agro 
sulzer ltd
0
b�loise holding 
dragerwerk ag 
compagnie agricole 
agfa-gevaert n.v.
sino agro 
argentum silver 
agro tech 
aguila american 
aryzta ag
0
immofinanz ag
deutsche bk 
bergbahnen engelberg-tr�bsee-titlis 
sunrise communications 
ktm ag
0
shf communication 
fdc union 
kardex ag 
gaia agro 
buwog ag
b�loise holding 
rei agro 
agile therapeutic.dl-0001
aurubis ag
shanghai dasheng 
the swatch 
hypoport ag
skw stahl-metallurgie 
vanguarda agro
aggreko plc
emqtec ag
agrob immobilien 
crealogix holding 
evn ag
bayer aktiengesellschaft
ifb agro 
credit suisse 
agricult.bnk of 
aldridge minerals 
konsortium ag
ktg agrar 
huber+suhner ag
deutsche bk 
newag sa 
angel telecom 
jullundur motor 
chocoladefabriken lindt 
ag mortgage 
dongfang modern 
r. stahl 
0
0
anglo american 
bombay cycle 
pharm - 
tlg immobilien 
agrob immobilien 
pfeiffer vacuum 
metric mobility 
bayer aktiengesellschaft
deutsche telekom 
0
pyrolyx ag
schaeffler ag
0
ageas sa/nv
deutsche bk 
agrium 
raiffeisen bank 
genera agri 
geberit ag
hms bergbau 
dormakaba holding 
brokersclub ag
aguia resources 
stratabound minerals 
asia green 
tele columbus 
amer sports 
sbf ag
first energy 
verianos real 
sanwaria agro 
ccp techs 
hamburger hafen 
vbh holding 
nabaltec ag
0
verbio vereinigte 
schaeffler ag
kion group 
varuna agroproteins 
southern company 
jayant agro 
agrimony commodities 
beiersdorf aktiengesellschaft
ivf hartmann 
uniqa insurance 
thyssenkrupp ag
hatsun agro 
s?chsische & 
kabel deutschland 
ageas sa/nv
bb biotech 
masi agricola 
swisscom ag
hochtief aktiengesellschaft
u-blox holding 
amadeus fire 
trans agro 
georg fischer 
tele columbus 
0
deutsche bank 
wp ag
deutsche beteiligungs 
medigene ag
drn.sg
0
atfl6.bo
0
ubm development 
albis leasing 
edisun power 
albis leasing 
oesterreichische post 
powerland ag
new age 
verbund ag
summarecon rp 
swiss prime 
varengold bank 
chaoda modern 
agen33f.sa
noel agritech 
snowbird ag
emmi ag
santander ag?ncias 
0
agri-tech (india) 
american science 
deutsche beteiligungs 
syzygy ag
tonkens agrar 
ubs ag, 
brimag digital 
agrium 
a group 
mlp ag
china agrotech 
the swatch 
jayant agro-organics 
ofl anlagenleasing 
deutsche post 
kps ag
fenghua soletech 
deutsche telekom 
scherzer & 
andritz ag
bambino agro 
agrarius ag
bank cler 
0
deutsche euroshop 
0
ageas
0
at & 
mau.f
deutsche bk 
reiagroltd6.bo
burgenland holding 
0
ros agro 
american airlines 
leoni ag
agrob immobilien 
heidelbergcement ag
arcandor ag
nanofocus ag
telef�nica deutschland 
federal agricultural 
hornbach holding 
wienerberger ag
biotest aktiengesellschaft
australian agricultural 
china agri 
gurit holding 
ca immobilien 
erste group 
hornbach holding 
0
cybits holding 
micronas semiconductor 
bachem holding 
autoneum holding 
mukta agriculture 
sanochemia pharmazeutika 
?sterreichische post 
agnc investment 
hwa ag 
unternehmens invest 
biotest aktiengesellschaft
cph chemie 
ascom holding 
agilent techs 
agfa-gevaert n.v.
agco  
oriflame holding 
cenit aktiengesellschaft
indofood agri 
smt scharf 
covestro aktiengesellschaft
windeln.de se
coltene holding 
american graphite 
aurubis ag
lena beteiligungs 
palfinger ag
agennix ag 
stratec biomedical 
rieter holding 
ageas sa/nv
minaya capital 
ishares ? 
agarwal industrial 
usher agro 
msg life 
etfs commodity 
cembra money 
the swatch 
bertrandt aktiengesellschaft
ml trading 
companhia catarinense 
pt sampoerna 
0
m4e ag 
galenica ltd.
net mobile 
inficon holding 
0
pel.sw
agfa-gevaert n.v. 
schindler holding 
burkhalter holding 
0
ageas sa/nv
agrob immobilien 
covestro ag
0
nabag anlage- 
agri-marine exports 
tornos holding 
aguila american 
slc agr�cola 
msg life 
s+o agrar 
bellevue group 
caisse r?gionale 
fraport ag
clariant ag
bavaria venture 
manz ag
hindustan agrigenetics 
smart equity 
sixt leasing 
meyer burger 
shri mahalaxmi 
0
australian agricultural 
hti high 
wienerberger ag
pax anlage 
deutsche geothermische 
schlumberger aktiengesellschaft
roche holding 
agrar invest 
m1 beauty 
blue cap 
the swatch 
green fire 
syp agro 
kencana agri 
allot communications 
swiss life 
homag group 
antioquia gold 
swatch group 
masn.sw
castle private 
alpine select 
omega ag-seeds 
ktg agrar 
rei agro 
barry callebaut 
helma eigenheimbau 
0
geberit ag
paul hartmann 
jenoptik ag
m-u-t ag
verbund ag
rieter holding 
sorini agro 
sc agrotech 
comdirect bank 
7c solarparken 
sri trang 
credit suisse 
cr?dit agricole 
hapag-lloyd aktiengesellschaft
agropec tupapnc*
fsh.v
dhanuka agritech 
agriterra ltd. 
aries agro 
agricult. bk 
agrana bet.ag 
schoeller-bleckmann oilfield 
bechtle ag
hwa ag 
summarecon rp 
ag fuer 
deutsche telekom 
b�loise holding 
chaoda modern 
coca-cola hbc 
w�stenrot & 
tonkens agrar 
ottakringer getr?nke 
daimler ag
agennix ag 
sino agro 
cian agro 
aves one 
ktm ag
sika ag
trade & 
ambica agarbathies 
0
amatheon agri 
china liaoning 
dragerwerk ag 
efg international 
sma solar 
agree rlty 
agrarius ag
raiffeisen bank 
aguas da 
deutsche bank 
golden agri-resources 
agilent techs 
magforce ag
finlab ag
elegant floriculture 
henkel ag 
agile grp 
arctic glacier 
rational aktiengesellschaft
bharat agri 
aovo touristik 
tonkens agrar 
agnc investment 
gategroup holding 
ssss microtec 
new age 
gerry weber 
0
companhia catarinense 
china specialty 
mologen ag
coca-cola hbc 
probiodrug ag
biofrontera ag
energiedienst holding 
the swatch 
cinemedia ag
hochdorf holding 
agro dutch 
bb biotech 
ecommerce alliance 
delticom ag
paragon ag
thyssenkrupp ag
gaia agro 
lanxess aktiengesellschaft
bertrandt aktiengesellschaft
0
verbund ag
s?chsische & 
nobel biocare 
gk software 
credit suisse 
evotec ag
agc networks 
vetropack holding 
volkswagen aktiengesellschaft
mudunuru limited
albis leasing 
baader bank 
fdc v1 
henkel ag 
deutsche bk 
evonik industries 
erste group 
apollo global 
0
sinovac biotech 
pankl racing 
wilex ag
deutsche beteiligungs 
infineon technologies 
beiersdorf aktiengesellschaft
mobimo holding 
ag mortgage 
agco  
fundo de 
jungfraubahn holding 
beiersdorf aktiengesellschaft
asknet ag
agropar pna*
innovativ capital 
evn ag
siltronic ag
sachsenmilch ag
sunways ag 
siltronic ag
init innovation 
schaltbau holding 
slc agr�cola 
henkel ag 
hornbach baumarkt 
0
independent capital 
galaxy agrico 
aryzta ag
geberit ag
dr. h?nle 
telef�nica deutschland 
cvc brasil 
alpha grissin 
myriad group 
0
hamborner reit 
rcm beteiligungs 
global health 
dmg mori 
agatech asa
nxchain 
0
agri-tech (india) 
gaia agro 
albis leasing 
aguia res 
vontobel holding 
meyer burger 
0
chorus clean 
s�dzucker ag
agfa-gevaert n.v.
bauer aktiengesellschaft
wienerberger
0
amp china 
ams ag
agenus  
nagarjuna agrichem 
belimo holding 
daimler ag
chocoladefabriken lindt 
ros agro 
bind.vi
0
birdhi chand 
fresenius medical 
sinovac biotech 
repi.sw
0
heidelberger druckmaschinen 
investunity ag
rei agro 
parker agrochem 
sunshine agri-tech 
gigaset ag
a group 
straumann holding 
china agrotech 
georg fischer 
mevis medical 
oberbank ag
constantin medien 
0
liechtensteinische landesbank 
vontobel holding 
gaia agro 
tamedia ag
cts eventim 
joyou ag
sma solar 
gensource potash 
solarworld aktiengesellschaft
arcandor ag
brenntag ag
ashmore global 
agrop bacuripnb*
allegiant travel 
gbs asset 
hornbach holding 
greiffenberger ag
uet united 
agfa-gevaert n.v.
satguru agro 
bayer aktiengesellschaft
gam holding 
ubs ag 
deutsche pfandbriefbank 
medigene ag
gokul agro 
siegfried holding 
f24 ag
wild bunch 
geberit ag
sunil agro 
elbstein ag
ubs ag, 
0
pne wind 
gaia agro 
0
private equity 
realtime technology 
mtm-holding ag
bhaskar agrochemicals 
ageas sa/nv
altin ag
dharnendra agro 
deutsche biotech 
sattler & 
asia green 
0
elringklinger ag
sugat.bo
looser holding 
s+o agrar 
agiv real 
agios pharmaceuticals
south east 
ktg agrar 
myriad group 
0
lifewatch ag
bfw liegenschaften 
barry callebaut 
gam holding 
agco corporation
franconofurt ag
henkel ag 
hornbach baumarkt 
agriterra limited
ihsn.sw
kena verwaltungs 
wirecard ag
rwe aktiengesellschaft
schindler holding 
ags infotech 
burckhardt compression 
agung podomoro 
chocoladefabriken lindt 
hamburger hafen 
salzgitter aktiengesellschaft
demire deutsche 
inficon holding 
fdc v1 
0
bucher industries 
0
kardex ag
amer.capital agy 
artnet ag
fresenius medical 
matica technologies 
the swatch 
0
gaia agro 
oberbank ag
agl energy 
smart grids 
sas ag3i
agjunction 
buwog ag
gurit holding 
seven principles 
china agri 
?sterreichische post 
shiva global 
daimler ag
publity ag
a.i.s. ag 
dufry ag
centrotec sustainable 
agco corporation
ageas sa/nv
rhi ag
unique agro 
avangardco investments 
helvetia holding 
sci ag
g.d.trading & 
australian agricult.
hatsun agro 
ascom holding 
argosy minerals 
astra agro 
vienna insurance 
ag growth 
sygnis ag
amarillo gold 
rosenbauer international 
a.i.s. ag
s immo 
siemens ag 
assured guaranty 
medinavi ag
agtech holdings 
deutsche bank 
albis leasing 
gaia agro 
eeii ag
allot communicat. 
assured guaranty 
gokul agro 
swarnajyothi agrotech 
celesio ag
tom tailor 
pt astra 
oc oerlikon 
trigon agri 
d?twyler holding 
m4e ag 
golden agri-res 
basilea pharmaceutica 
ifm immobilien 
agfa-gevaert n.v.
tonkens agrar 
pfeiffer vacuum 
swisscom ag
basler aktiengesellschaft
ageas sa/nv 
lotto24 ag
0
elumeo se
hugo boss 
m4e ag 
baywa aktiengesellschaft
deutsche wohnen 
s&t ag
rheinmetall ag
gigaset ag
sonova holding 
tuij.de
kps ag
omv aktiengesellschaft
valartis group 
vtion wireless 
arcturusgrowth
nexus ag
maya agro 
norcom information 
pioneer agro 
syngenta ag
isaria wohnbau 
slm solutions 
psp swiss 
schoeller-bleckmann oilfield 
bank linth 
orell f�ssli 
paion ag
msg life 
wienerberger
0
asian bamboo 
agio paper 
nanostart ag 
kuehne + 
belimo holding 
beiersdorf ag
msg life 
sm wirtschaftsberatungs 
nak stoffe 
ernst russ 
talanx aktiengesellschaft
chaoda modern 
sygnis ag
0
clariant ag
saptarishi agro 
drillisch ag 
probiodrug ag
solvesta ag
agile group 
hochtief aktiengesellschaft
mutares ag
allegiant travel 
ageas sa/nv
b.r.a.i.n. biotechnology 
ekotechnika ag
agricultural bank 
pt summarecon 
fintech group 
clere ag
berliner ag 
forbo holding 
0
semperit aktiengesellschaft 
raiffeisen bank 
0
repp.sw
m. p. 
brenntag ag
united internet 
coromandel agro 
serra azul 
vp bank 
paion ag
tonkens agrar 
verdescampospna* mb
sc agrotech 
cashcloud holding 
deutsche pfandbriefbank 
0
filmconfect ag
agg.f
dhanuka agritech 
ageas sa/nv
schoeller-bleckmann oilfield 
agile content
wienerberger ag
openjobmetis s.p.a.
ashiana agro 
ubs ag 
commerzbank i
altin ag
a.i.s. ag
schlott gruppe 
technotrans ag
golden agri-resources 
wienerberger ag 
swisslog holding 
0
humanoptics ag
ubs group 
m4e ag
bvz holding 
gerresheimer ag
agt food 
polytec holding 
algoma central 
new age 
ottakringer getr?nke 
clere ag
dsm-agi corporation
swisscom ag
castle alternative 
jvl agro 
angstrom technologies
agrimin limited
agro tech 
wmf ag
kuros biosciences 
immofinanz ag
s immo 
ubs ag, 
aggregated micro 
agro dutch 
wirecard ag
gerresheimer ag
rkb agro 
swl sustainable 
dg gruppe 
shpne.sw
porr ag
nxchain 
andritz ag
agrium 
0
ktg agrar 
ubs group 
medios ag
takkt ag
first energy 
aggreko plc
atom energy 
novartis ag
siemens aktiengesellschaft
ros agro 
empresa metropolitana 
ddm holding 
sika ag
medigene ag
dmg mori 
telekom austria 
forne.sw
straumann holding 
kontron ag
nepc agro 
chorus clean 
schlatter industries 
agrium 
aptargroup  
wienerberger
slc agr�cola 
oc oerlikon 
twin roses 
co.don ag
insumos agroqu�micos 
freenet ag
comet holding 
agile therapeutics
agrium  
vitan agro 
kuoni n
mergedmedia ag
dragerwerk ag 
patrizia immobilien 
santhera pharmaceuticals 
salt of 
0
andes gold 
pt inti 
sonova holding 
kardex ag
austral gold 
